CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,Street_Address,State,Zip_code
1001,Frodo,Baggins,123--54-5-54,"123 Shire Lane, Shire",Yes,N,123 Shire Lane, Shire,
1005,Jon,Snow,876-|67-8|34,123 Dragons Road,Y,N,123 Dragons Road,,
1008,Sherlock,Holmes,876-|67-8|34,98 Clue Drive,N,N,98 Clue Drive,,
1010,Peter,Parker,123--54-5-54,"25th Main Street, New York",Yes,N,25th Main Street, New York,
1013,Don,Draper,123--54-3-23,2039 Main Street,Yes,N,2039 Main Street,,
1014,Leslie,Knope,876-|67-8|34,343 City Parkway,Yes,N,343 City Parkway,,
1015,Toby,Flenderson,304--76-2-24,214 HR Avenue,N,N,214 HR Avenue,,
1016,Ron,Weasley,123--54-5-54,2395 Hogwarts Avenue,No,N,2395 Hogwarts Avenue,,
1017,Michael ,Scott,123-/64-3/97,"121 Paper Avenue, Pennsylvania",Yes,N,121 Paper Avenue, Pennsylvania,
1020,Anakin,Skywalker,876-|67-8|34,"910 Tatooine Road, Tatooine",Yes,N,910 Tatooine Road, Tatooine,
